15:07:14.406 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
15:07:15.144 [main] INFO  c.h.t.SearchApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
15:07:16.148 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8090"]
15:07:16.148 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
15:07:16.149 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
15:07:16.305 [main] INFO  o.a.c.c.C.[.[.[/search] - [log,173] - Initializing Spring embedded WebApplicationContext
15:07:18.408 [main] INFO  o.m.driver.cluster - [info,71] - Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=1000}
15:07:18.487 [cluster-ClusterId{value='627b60a63b8dcc3fa9c42ae9', description='null'}-127.0.0.1:27017] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:2, serverValue:7}] to 127.0.0.1:27017
15:07:18.488 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:1, serverValue:6}] to 127.0.0.1:27017
15:07:18.492 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:3, serverValue:8}] to 127.0.0.1:27017
15:07:18.493 [cluster-ClusterId{value='627b60a63b8dcc3fa9c42ae9', description='null'}-127.0.0.1:27017] INFO  o.m.driver.cluster - [info,71] - Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 3]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3547500}
15:07:18.511 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:4, serverValue:9}] to 127.0.0.1:27017
15:07:18.532 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:5, serverValue:10}] to 127.0.0.1:27017
15:07:18.537 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:6, serverValue:11}] to 127.0.0.1:27017
15:07:18.545 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:7, serverValue:12}] to 127.0.0.1:27017
15:07:18.550 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:8, serverValue:13}] to 127.0.0.1:27017
15:07:18.554 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:9, serverValue:14}] to 127.0.0.1:27017
15:07:18.560 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:10, serverValue:15}] to 127.0.0.1:27017
15:07:18.563 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:11, serverValue:16}] to 127.0.0.1:27017
