17:24:13.284 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.0.22.Final
17:24:14.679 [main] INFO  c.h.t.ConfigApplication - [logStartupProfileInfo,655] - The following profiles are active: dev
17:24:18.183 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8190"]
17:24:18.185 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
17:24:18.186 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.41]
17:24:18.405 [main] INFO  o.a.c.c.C.[.[.[/config] - [log,173] - Initializing Spring embedded WebApplicationContext
17:24:20.285 [main] INFO  o.m.driver.cluster - [info,71] - Cluster created with settings {hosts=[172.16.21.122:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=1000}
17:24:20.397 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:1, serverValue:4}] to 172.16.21.122:27017
17:24:20.397 [cluster-ClusterId{value='62c40344bb2b14243969f876', description='null'}-172.16.21.122:27017] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:2, serverValue:5}] to 172.16.21.122:27017
17:24:20.402 [cluster-ClusterId{value='62c40344bb2b14243969f876', description='null'}-172.16.21.122:27017] INFO  o.m.driver.cluster - [info,71] - Monitor thread successfully connected to server with description ServerDescription{address=172.16.21.122:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 2, 21]}, minWireVersion=0, maxWireVersion=4, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=1777200}
17:24:20.403 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:3, serverValue:6}] to 172.16.21.122:27017
17:24:20.407 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:4, serverValue:7}] to 172.16.21.122:27017
